"package","version"
"clustree","0.5.1"
"CoGAPS","3.29.1"
"data.table","1.17.8"
"doParallel","1.0.17"
"dplyr","1.1.4"
"fgsea","1.32.4"
"foreach","1.5.2"
"ggplot2","4.0.1"
"ggrepel","0.9.6"
"grid","4.4.0"
"gridExtra","2.3"
"metap","1.12"
"msigdbr","25.1.1"
"openxlsx","4.2.8"
"parallel","4.4.0"
"patchwork","1.3.1"
"pheatmap","1.0.13"
"philentropy","0.9.0"
"R.utils","2.13.0"
"reshape2","1.4.4"
"reticulate","1.44.1"
"scales","1.4.0"
"scCustomize","2.1.2"
"Seurat","5.4.0"
"SeuratWrappers","0.4.0"
"stringdist","0.9.15"
"stringr","1.5.1"
"svglite","2.1.3"
"tidyr","1.3.1"
"transport","0.15.4"
"viridis","0.6.5"
